iter	Passed	Remaining
738	13123	4634
739	13142	4617
740	13157	4598
741	13177	4581
742	13193	4563
743	13213	4546
744	13232	4529
745	13249	4511
746	13266	4493
747	13284	4475
748	13302	4457
749	13319	4439
750	13336	4421
751	13352	4403
752	13368	4384
753	13383	4366
754	13402	4349
755	13421	4331
756	13439	4314
757	13456	4295
758	13474	4278
759	13492	4260
760	13511	4243
761	13528	4225
762	13545	4207
763	13564	4190
764	13583	4172
765	13599	4154
766	13617	4136
767	13635	4119
768	13654	4101
769	13674	4084
770	13690	4066
771	13708	4048
772	13726	4031
773	13745	4013
774	13766	3996
775	13781	3978
776	13798	3960
777	13817	3942
778	13833	3924
779	13848	3906
780	13865	3887
781	13884	3870
782	13899	3852
783	13918	3834
784	13934	3816
785	13950	3798
786	13969	3780
787	13988	3763
788	14008	3746
789	14027	3728
790	14047	3711
791	14066	3694
792	14085	3676
793	14099	3658
794	14117	3640
795	14136	3622
796	14153	3604
797	14169	3586
798	14186	3568
799	14203	3550
800	14220	3532
801	14240	3515
802	14258	3497
803	14276	3480
804	14292	3462
805	14308	3443
806	14325	3425
807	14344	3408
808	14361	3390
809	14379	3372
810	14401	3356
811	14418	3338
812	14436	3320
813	14457	3303
814	14476	3286
815	14492	3268
816	14510	3250
817	14528	3232
818	14545	3214
819	14568	3197
820	14583	3179
821	14602	3162
822	14621	3144
823	14638	3126
824	14656	3109
825	14676	3091
826	14695	3074
827	14712	3056
828	14728	3038
829	14745	3020
830	14769	3003
831	14787	2986
832	14806	2968
833	14823	2950
834	14842	2932
835	14864	2915
836	14885	2898
837	14904	2881
838	14922	2863
839	14941	2845
840	14958	2828
841	14975	2810
842	14991	2791
843	15007	2773
844	15025	2756
845	15043	2738
846	15062	2720
847	15081	2703
848	15099	2685
849	15115	2667
850	15131	2649
851	15147	2631
852	15165	2613
853	15187	2596
854	15206	2578
855	15223	2560
856	15242	2543
857	15261	2525
858	15280	2508
859	15300	2490
860	15318	2472
861	15336	2455
862	15355	2437
863	15374	2420
864	15393	2402
865	15410	2384
866	15428	2366
867	15446	2349
868	15465	2331
869	15483	2313
870	15503	2296
871	15519	2278
872	15539	2260
873	15555	2242
874	15572	2224
875	15589	2206
876	15609	2189
877	15626	2171
878	15642	2153
879	15658	2135
880	15676	2117
881	15696	2099
882	15713	2082
883	15732	2064
884	15752	2046
885	15767	2028
886	15790	2011
887	15807	1993
888	15825	1975
889	15841	1957
890	15863	1940
891	15883	1923
892	15899	1905
893	15918	1887
894	15935	1869
895	15951	1851
896	15967	1833
897	15982	1815
898	15998	1797
899	16017	1779
900	16034	1761
901	16050	1743
902	16068	1726
903	16086	1708
904	16108	1690
905	16128	1673
906	16147	1655
907	16165	1637
908	16179	1619
909	16195	1601
910	16211	1583
911	16228	1565
912	16246	1548
913	16265	1530
914	16283	1512
915	16300	1494
916	16317	1476
917	16334	1459
918	16354	1441
919	16372	1423
920	16390	1405
921	16407	1388
922	16426	1370
923	16445	1352
924	16463	1334
925	16481	1317
926	16498	1299
927	16518	1281
928	16537	1263
929	16555	1246
930	16573	1228
931	16590	1210
932	16607	1192
933	16625	1174
934	16647	1157
935	16665	1139
936	16685	1121
937	16703	1104
938	16719	1086
939	16736	1068
940	16753	1050
941	16771	1032
942	16794	1015
943	16816	997
944	16832	979
945	16849	961
946	16865	943
947	16887	926
948	16905	908
949	16925	890
950	16946	873
951	16970	855
952	16992	838
953	17010	820
954	17029	802
955	17047	784
956	17064	766
957	17084	748
958	17103	731
959	17120	713
960	17139	695
961	17157	677
962	17174	659
963	17195	642
964	17213	624
965	17229	606
966	17247	588
967	17265	570
968	17281	552
969	17300	535
970	17319	517
971	17339	499
972	17357	481
973	17378	463
974	17397	446
975	17416	428
976	17435	410
977	17453	392
978	17474	374
979	17493	357
980	17515	339
981	17535	321
982	17552	303
983	17570	285
984	17585	267
985	17603	249
986	17624	232
987	17642	214
988	17658	196
989	17675	178
990	17694	160
991	17712	142
992	17733	125
993	17761	107
994	17816	89
995	17840	71
996	17870	53
997	17888	35
998	17906	17
999	17924	0
